gene	Sample_ID	compendium_version	rollup_cohort
GAL	TH34_1240_S01	v7	pandisease
TNNI2	TH34_1240_S01	v7	pandisease
TNNI1	TH34_1240_S01	v7	pandisease
RRP9	TH34_1240_S01	v7	pandisease
TG	TH34_1240_S01	v7	pandisease
TSSC2	TH34_1240_S01	v7	pandisease
HSPB7	TH34_1240_S01	v7	pandisease
NOS3	TH34_1240_S01	v7	pandisease
ATAD3A	TH34_1240_S01	v7	pandisease
RP9	TH34_1240_S01	v7	pandisease
PDIA5	TH34_1240_S01	v7	pandisease
LSM7	TH34_1240_S01	v7	pandisease
FAM207A	TH34_1240_S01	v7	pandisease
MAP7D2	TH34_1240_S01	v7	pandisease
SLN	TH34_1240_S01	v7	pandisease
RP11-150O12.6	TH34_1240_S01	v7	pandisease
SSBP1	TH34_1240_S01	v7	pandisease
SLIRP	TH34_1240_S01	v7	pandisease
SNHG25	TH34_1240_S01	v7	pandisease
RPL36	TH34_1240_S01	v7	pandisease
RP1-20B21.4	TH34_1240_S01	v7	pandisease
FAM195A	TH34_1240_S01	v7	pandisease
NCLN	TH34_1240_S01	v7	pandisease
PET100	TH34_1240_S01	v7	pandisease
DKC1	TH34_1240_S01	v7	pandisease
BOLA3	TH34_1240_S01	v7	pandisease
HSPA7	TH34_1350_S01	v8	pandisease
ELOF1	TH34_1350_S01	v8	pandisease
SCO2	TH34_1350_S01	v8	pandisease
CHI3L1	TH34_1350_S01	v8	pandisease
CAMK1	TH34_1350_S01	v8	pandisease
CD177	TH34_1350_S01	v8	pandisease
FGFBP2	TH34_1350_S01	v8	pandisease
DRAP1	TH34_1350_S01	v8	pandisease
AL162151.3	TH34_1350_S01	v8	pandisease
C1QC	TH34_1350_S01	v8	pandisease
C1QB	TH34_1350_S01	v8	pandisease
C1QA	TH34_1350_S01	v8	pandisease
CD300E	TH34_1350_S01	v8	pandisease
TNFSF12	TH34_1350_S01	v8	pandisease
CTA-384D8.36	TH34_1350_S01	v8	pandisease
HLA-A	TH34_1350_S01	v8	pandisease
SNAP29	TH34_1350_S01	v8	pandisease
RRAS	TH34_1350_S01	v8	pandisease
RP11-386G11.10	TH34_1350_S01	v8	pandisease
GPBAR1	TH34_1350_S01	v8	pandisease
